layer,head,head_label,ablated_ld,ablated_acc,baseline_ld,baseline_acc,ld_drop,importance,rank,head_type
8,6,L8H6,1.82815,0.92,3.016528,0.94,1.188379,0.393956,1,Name Mover
8,10,L8H10,2.060995,0.92,3.016528,0.94,0.955534,0.316766,2,Name Mover
5,5,L5H5,2.166434,0.9,3.016528,0.94,0.850094,0.281812,3,Name Mover
1,10,L1H10,2.199013,0.86,3.016528,0.94,0.817515,0.271012,4,Name Mover
7,9,L7H9,2.241288,0.92,3.016528,0.94,0.775241,0.256998,5,Name Mover
0,10,L0H10,2.522558,0.92,3.016528,0.94,0.493971,0.163755,6,Name Mover
5,9,L5H9,2.565453,0.9,3.016528,0.94,0.451075,0.149535,7,Helper
3,0,L3H0,2.566119,0.94,3.016528,0.94,0.450409,0.149314,8,Helper
6,9,L6H9,2.577303,0.92,3.016528,0.94,0.439226,0.145606,9,Helper
9,7,L9H7,2.681403,0.92,3.016528,0.94,0.335125,0.111096,10,Helper
7,3,L7H3,2.698516,0.92,3.016528,0.94,0.318012,0.105423,11,Helper
4,11,L4H11,2.776415,0.92,3.016528,0.94,0.240114,0.079599,12,Helper
9,9,L9H9,2.813093,0.94,3.016528,0.94,0.203436,0.06744,13,Helper
10,0,L10H0,2.814792,0.96,3.016528,0.94,0.201736,0.066877,14,Helper
3,10,L3H10,2.850015,0.92,3.016528,0.94,0.166513,0.0552,15,Helper
10,10,L10H10,2.871984,0.94,3.016528,0.94,0.144544,0.047917,16,Neutral
4,7,L4H7,2.886928,0.92,3.016528,0.94,0.129601,0.042964,17,Neutral
6,0,L6H0,2.889081,0.94,3.016528,0.94,0.127447,0.04225,18,Neutral
5,11,L5H11,2.889613,0.94,3.016528,0.94,0.126916,0.042073,19,Neutral
11,0,L11H0,2.893354,0.94,3.016528,0.94,0.123175,0.040833,20,Neutral
10,1,L10H1,2.900487,0.94,3.016528,0.94,0.116041,0.038468,21,Neutral
7,1,L7H1,2.909003,0.94,3.016528,0.94,0.107526,0.035646,22,Neutral
