Layer,0,1,2,3,4,5,6,7,8,9,10,11
0,-0.005553,0.021931,-0.016554,-0.030509,-0.046256,-0.035004,-0.032078,-0.006333,-0.020442,0.01959,0.163755,-0.005448
1,-0.052144,-0.00896,-0.001675,0.012473,-0.001864,8.8e-05,-0.014399,-0.003039,-0.001015,0.001502,0.271012,0.021058
2,-0.002724,-0.011326,-0.004708,-0.043506,-0.003757,0.009649,0.028746,0.012149,-0.029646,-0.011627,-0.005501,-0.005003
3,0.149314,-0.020884,-0.03417,-0.049792,0.019939,0.006654,-0.026046,-0.00943,0.018825,-0.054043,0.0552,-0.013531
4,-0.024524,-0.008808,0.004132,-0.041435,0.025461,-0.011492,0.011474,0.042964,-0.009041,0.001509,0.002713,0.079599
5,-0.007478,-0.001834,-0.014997,-0.000944,-0.015373,0.281812,0.025918,-0.027401,0.023481,0.149535,-0.088499,0.042073
6,0.04225,0.01963,-0.005366,-0.017176,0.007861,0.000446,0.035445,0.003977,0.014826,0.145606,-0.000375,-0.00802
7,0.016673,0.035646,0.004658,0.105423,0.020111,-0.011674,-0.014475,0.011813,0.005595,0.256998,0.004119,0.008453
8,0.010701,0.000179,-0.024109,-0.012755,-0.000916,-0.026131,0.393956,-0.002525,-0.015094,0.004145,0.316766,-0.017003
9,-0.007629,-0.00428,-0.009929,-0.001024,-0.007978,0.022027,-0.103191,0.111096,-0.018488,0.06744,-0.001413,-0.005236
10,0.066877,0.038468,0.007425,0.013818,-0.010294,-0.002537,0.022476,-0.329445,0.003255,-0.011066,0.047917,-0.003221
11,0.040833,0.005739,-0.142962,-0.010714,0.019657,0.00454,-0.003002,-0.001998,0.005635,-0.008295,-0.256649,-0.003813
