layer,component,ablated_ld,baseline_ld,ld_drop,ld_drop_norm,is_critical
0,attn,3.31838,3.016528,-0.301852,-0.100066,False
0,mlp,0.9076,3.016528,2.108929,0.699124,True
0,full_layer,-0.054741,3.016528,3.071269,1.018147,True
1,attn,3.186087,3.016528,-0.169559,-0.05621,False
1,mlp,3.080558,3.016528,-0.06403,-0.021226,False
1,full_layer,3.204741,3.016528,-0.188213,-0.062394,False
2,attn,3.248625,3.016528,-0.232096,-0.076942,False
2,mlp,3.033336,3.016528,-0.016807,-0.005572,False
2,full_layer,3.026159,3.016528,-0.009631,-0.003193,False
3,attn,2.818754,3.016528,0.197774,0.065563,False
3,mlp,3.1893,3.016528,-0.172771,-0.057275,False
3,full_layer,2.7335,3.016528,0.283028,0.093826,False
4,attn,2.887419,3.016528,0.129109,0.0428,False
4,mlp,2.857318,3.016528,0.159211,0.052779,False
4,full_layer,2.65291,3.016528,0.363618,0.120542,True
5,attn,2.256742,3.016528,0.759787,0.251875,True
5,mlp,2.355967,3.016528,0.660561,0.218981,True
5,full_layer,1.29447,3.016528,1.722059,0.570874,True
6,attn,2.364421,3.016528,0.652107,0.216178,True
6,mlp,2.859126,3.016528,0.157402,0.05218,False
6,full_layer,2.259979,3.016528,0.756549,0.250801,True
7,attn,1.744488,3.016528,1.27204,0.42169,True
7,mlp,3.097637,3.016528,-0.081109,-0.026888,False
7,full_layer,1.51247,3.016528,1.504058,0.498606,True
8,attn,1.174755,3.016528,1.841773,0.61056,True
8,mlp,3.527312,3.016528,-0.510784,-0.169328,False
8,full_layer,1.488731,3.016528,1.527797,0.506475,True
9,attn,3.195135,3.016528,-0.178607,-0.05921,False
9,mlp,3.078656,3.016528,-0.062127,-0.020596,False
9,full_layer,3.378743,3.016528,-0.362215,-0.120077,False
10,attn,3.476067,3.016528,-0.459539,-0.15234,False
10,mlp,3.158971,3.016528,-0.142443,-0.047221,False
10,full_layer,3.680423,3.016528,-0.663894,-0.220086,False
11,attn,4.086782,3.016528,-1.070253,-0.354796,False
11,mlp,3.184759,3.016528,-0.16823,-0.05577,False
11,full_layer,5.293427,3.016528,-2.276899,-0.754808,False
