layer_idx,layer_label,logit_diff,logit_diff_std,prob_io,prob_s,logit_io,logit_s,fraction_correct
0,Embed,-0.19287737101316452,2.626350933898554,3.4007400443524195e-18,3.093726384874697e-18,-3.342320718765259,-3.14944335103035,0.47
1,L0,0.206981360912323,3.1133664891932034,7.40732052151527e-06,2.638628094704387e-06,3.281469530761242,3.0744881689548493,0.515
2,L1,0.2588131535053253,3.08422505166728,4.126233620067587e-06,2.0926374381802225e-06,3.941098799109459,3.6822856368124484,0.515
3,L2,0.3055542254447937,2.963479979291233,1.2105062041702918e-05,6.9814944135998534e-06,4.623856055438519,4.318301827907562,0.53
4,L3,0.38310804933309556,3.0055625844745393,1.4208356757652307e-05,7.73569020526499e-06,4.6318590280413625,4.248750984370709,0.55
5,L4,0.30547267973423003,2.8203357259143966,2.351004450557914e-05,9.918755000538904e-06,5.215375255346299,4.909902571737766,0.525
6,L5,0.3239200723171234,2.7512529737217246,3.8395901599838076e-05,2.117642836943212e-05,6.664493388533592,6.3405733147263525,0.53
7,L6,0.09368767857551574,2.8988032525055445,4.7753891134618695e-05,5.6796884482859244e-05,7.85274697959423,7.759059302806854,0.505
8,L7,1.2880116593837738,2.833068099255623,8.136686358775958e-05,1.2673187946473652e-05,9.949712485074997,8.66170082449913,0.685
9,L8,1.470083167552948,3.156007592614114,0.0008157766333475803,0.00011427628662274092,14.667509570121766,13.197426402568817,0.715
10,L9,11.369486985206605,7.625001737142717,0.7478244568857102,0.011801322149483937,28.3707307100296,17.001243705749513,0.935
11,L10,8.21790165901184,4.920311809729119,0.8277364539337577,0.021082194538372245,25.195309829711913,16.977408180236818,0.95
12,L11,3.2261852645874023,1.8798155020333367,0.35248086230712944,0.022534817129781004,15.700920248031617,12.474734983444215,0.965
