layer,component,ablation_mode,ablated_ld,baseline_ld,ld_drop,ld_drop_norm,is_critical
0,attn,resample,2.794532,3.226185,0.431654,0.133797,True
0,mlp,resample,-0.298911,3.226185,3.525097,1.092652,True
0,full_layer,resample,-0.008181,3.226185,3.234367,1.002536,True
1,attn,resample,3.254494,3.226185,-0.028308,-0.008774,False
1,mlp,resample,3.088618,3.226185,0.137567,0.042641,False
1,full_layer,resample,2.975278,3.226185,0.250908,0.077772,False
2,attn,resample,3.22984,3.226185,-0.003654,-0.001133,False
2,mlp,resample,3.068413,3.226185,0.157772,0.048904,False
2,full_layer,resample,2.799353,3.226185,0.426832,0.132302,True
3,attn,resample,2.757225,3.226185,0.46896,0.145361,True
3,mlp,resample,3.129425,3.226185,0.096761,0.029992,False
3,full_layer,resample,2.356115,3.226185,0.870071,0.26969,True
4,attn,resample,2.976642,3.226185,0.249543,0.077349,False
4,mlp,resample,2.71021,3.226185,0.515976,0.159934,True
4,full_layer,resample,2.336105,3.226185,0.89008,0.275892,True
5,attn,resample,2.12478,3.226185,1.101405,0.341396,True
5,mlp,resample,2.421533,3.226185,0.804652,0.249413,True
5,full_layer,resample,1.278992,3.226185,1.947193,0.603559,True
6,attn,resample,2.485443,3.226185,0.740743,0.229603,True
6,mlp,resample,2.687831,3.226185,0.538354,0.16687,True
6,full_layer,resample,2.159704,3.226185,1.066481,0.33057,True
7,attn,resample,2.014091,3.226185,1.212095,0.375705,True
7,mlp,resample,2.892794,3.226185,0.333392,0.103339,True
7,full_layer,resample,1.489586,3.226185,1.7366,0.538283,True
8,attn,resample,1.435846,3.226185,1.790339,0.55494,True
8,mlp,resample,3.500681,3.226185,-0.274496,-0.085084,False
8,full_layer,resample,1.442209,3.226185,1.783976,0.552968,True
9,attn,resample,3.084261,3.226185,0.141924,0.043991,False
9,mlp,resample,3.257129,3.226185,-0.030944,-0.009591,False
9,full_layer,resample,2.953109,3.226185,0.273076,0.084644,False
10,attn,resample,3.573699,3.226185,-0.347513,-0.107716,False
10,mlp,resample,3.453792,3.226185,-0.227606,-0.07055,False
10,full_layer,resample,3.72369,3.226185,-0.497504,-0.154208,False
11,attn,resample,4.460484,3.226185,-1.234298,-0.382587,False
11,mlp,resample,3.146131,3.226185,0.080054,0.024814,False
11,full_layer,resample,4.522896,3.226185,-1.296711,-0.401933,False
