Layer,0,1,2,3,4,5,6,7,8,9,10,11
0,-0.005267,0.002347,-0.011172,-0.020928,-0.01531,-0.030971,-0.018084,-0.007404,-0.021115,0.01228,0.121647,-0.004283
1,-0.024581,-0.006756,0.001312,0.006738,0.001806,0.003088,-0.012075,0.001875,-0.004162,0.001224,0.117772,0.007208
2,0.000433,-0.007779,-0.004273,-0.02101,-0.010434,0.005969,0.024357,0.006984,-0.019069,-0.014043,0.010141,-0.008965
3,0.123044,-0.010285,-0.017343,-0.034763,0.017387,0.00463,-0.016076,-0.011983,0.009626,-0.036425,0.040348,-0.008852
4,-0.020294,-0.012962,0.002207,-0.030164,0.021871,-0.006353,0.010265,0.036614,-0.003535,-0.004294,-0.000469,0.058881
5,-0.008649,0.001143,-0.013901,0.001564,-0.011983,0.241703,0.023917,-0.032477,0.009784,0.117301,-0.089756,0.037423
6,0.03332,0.016886,-0.004099,-0.009724,0.011932,0.003254,0.018176,-0.002611,0.007818,0.123334,0.000907,0.001149
7,0.008027,0.033657,0.003472,0.092756,0.015327,-0.011299,-0.012745,0.007631,0.002821,0.224678,0.002492,0.008755
8,0.008921,-0.00087,-0.019008,-0.024603,0.00121,-0.025303,0.34316,-8e-05,-0.010721,0.001414,0.281559,-0.012546
9,-0.006532,-0.003505,-0.010283,0.007109,-0.017128,0.019594,-0.112586,0.108209,-0.007054,0.065937,0.001905,-0.003056
10,0.08166,0.020686,0.005815,0.014721,-0.006297,-0.002079,0.036909,-0.300308,0.002602,-0.00864,0.044371,-0.002479
11,0.04151,0.003945,-0.109785,-0.000125,0.014144,-0.005228,-0.024199,-0.000682,0.003813,-0.011802,-0.264603,-0.006271
