token_position,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11
pos0: '<|endoftext|>',0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104
pos1: 'When',0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104
pos2: ' David',0.18645283077956837,0.0626347472373572,0.06450526712794227,0.06708543881308902,0.06182118053763765,0.06258374983570826,0.06471560464006491,0.06294264270518232,0.0622819141069697,0.06537998859703534,0.06343281720835309,0.06203274209654104
pos3: ' and',0.06527649046761486,0.06564022543899468,0.08201646546555738,0.07399082762347449,0.08230471370947688,0.07661980923027154,0.06738846783351421,0.06376229522180087,0.06283020529228885,0.06933628256735729,0.06577881165295325,0.06203274209654104
pos4: ' Henry',0.1592906210765844,0.06033747208779926,0.06415022019385586,0.06989439233482148,0.0652359227504737,0.06786708779848763,0.07164021965377926,0.061573686579724944,0.06506563154199292,0.06663813586415336,0.06823770875469642,0.06203274209654104
pos5: ' visited',0.10536484478447906,0.06315962514680509,0.06819878530140508,0.06880943134979416,0.08326879009071206,0.06299058833978663,0.0661087190270508,0.058184680005569714,0.058526917085247654,0.06455746163024198,0.06349818992214522,0.06203274209654104
pos6: ' the',0.06144428703527255,0.06276081809723,0.06371429386702211,0.06164184421782631,0.06764568602560252,0.0640062039874228,0.06384661963194083,0.06156951766650692,0.0626887933851438,0.0632764207241307,0.06265995752929865,0.06203274209654104
pos7: ' restaurant',0.05999385156141819,0.06239961550798609,0.06362289215565897,0.062300612375290915,0.062194258943435755,0.06184850786869168,0.06390488710702197,0.062035307147173625,0.06248442761732055,0.06328331789023052,0.06328624868090892,0.06203274209654104
"pos8: ','",0.05990288360877414,0.06268181001677255,0.0637340785165918,0.06413622486623052,0.06265847771172392,0.06175805386779227,0.06507256588649814,0.06207405218749866,0.06385633735028026,0.07469132455562949,0.07891399597920606,0.06203274209654104
pos9: ' Henry',0.06747367462966747,0.06173852471478069,0.062265397665691814,0.0648805419010827,0.06365523655249739,0.0682763484144398,0.07119384521363896,0.06566042320448462,0.06518815274473937,0.08143646411697503,0.08029159832977062,0.06203274209654104
pos10: ' handed',0.059460838375070484,0.06131562073811174,0.06031270871523706,0.06121385419887763,0.0686924028404744,0.05516525238267876,0.06703183549689894,0.06364882662691797,0.06337519054253694,0.07146207808548036,0.06909004069282283,0.06203274209654104
pos11: ' the',0.06197781663562459,0.06320827059745356,0.06312628961197046,0.061846454293045375,0.06343381312948425,0.0681542861760745,0.06505881858643439,0.06455550606134802,0.06198364130099071,0.0653878159509759,0.06618623475074446,0.06203274209654104
pos12: ' letter',0.06287077471635781,0.06208829077019782,0.062405628364253986,0.061197907609323955,0.06075890326772919,0.06295881466305507,0.0606609127148626,0.06176392597450171,0.06283514860221755,0.06339571652150652,0.0631658118444557,0.06203274209654104
pos13: ' to',0.06418000912249502,0.06335994596929656,0.06561660130211384,0.06314729510442418,0.06413545007450398,0.060807766187627496,0.07108123181638376,0.047717942673578415,0.08507226125355187,0.16097347528630568,0.2035574725166587,0.1916022297632556
