token_position,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11
pos0: '<|endoftext|>',0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104
pos1: 'When',0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104
pos2: ' David',1.0721329055775117,0.10744339862957783,0.09338263394647582,0.09498734199920016,0.07729349461764003,0.10254458925361634,0.09628678399996632,0.10862424203077069,0.0827637288039838,0.06990044523536815,0.06240385702149009,0.06203274209654104
pos3: ' and',0.11817153125118735,0.062234152597600456,0.057184720517533545,0.055297844613289245,0.07673457409208412,0.06382822877689008,0.05950458382382517,0.06143131822759606,0.06241724673156466,0.06063694221129532,0.06239222038368533,0.06203274209654104
pos4: ' Henry',0.627391102997985,0.0859915268757449,0.07969529010263848,0.09343607736463834,0.07939641544005219,0.08168315887677721,0.07868402484001817,0.07904017477407979,0.07728972446697907,0.06033156279681485,0.05733729174667029,0.06203274209654104
pos5: ' visited',0.2739118853071493,0.07142364478792486,0.06681863976384349,0.06764807829312215,0.07332303612724408,0.06474750289505594,0.06482535325896809,0.06494355437845427,0.07318503126781643,0.0668507496820015,0.0661125558088038,0.06203274209654104
pos6: ' the',0.07614910047940318,0.06089155987566021,0.06110410167904935,0.0652809453475993,0.06519924666297691,0.05949522761898229,0.06099064830094779,0.06181376662038304,0.06212154056552835,0.06206677618563301,0.06230077368391168,0.06203274209654104
pos7: ' restaurant',0.054638613191438645,0.06150570273335358,0.0609826427153777,0.060528117316492214,0.061443042994416566,0.06107804093265089,0.06179400114111722,0.06310779679470076,0.061979861428978655,0.062276605259684405,0.062257836381117836,0.06203274209654104
"pos8: ','",0.05016633853880581,0.06206486276538798,0.06144271979619959,0.06224473208754287,0.060865858410387524,0.060836744789323396,0.0631552886018435,0.0611230065015599,0.06091910134943481,0.05947604447543804,0.06006986774631323,0.06203274209654104
pos9: ' Henry',0.3843842611062543,0.06921501583967461,0.07025807778174062,0.06934549124636506,0.0772950133461193,0.07628824386866245,0.05985038251542584,0.06572458713782629,0.06508982960224827,0.062471678570124645,0.06215013813249212,0.06203274209654104
pos10: ' handed',0.4459062196156582,0.06481859647366645,0.07384310550716118,0.06348921349594713,0.07146238976574709,0.06823518445257637,0.06483585160475087,0.06157905733487403,0.06213429719679203,0.06096530991701364,0.061342289235638406,0.06203274209654104
pos11: ' the',0.1825239881529397,0.06051393312660606,0.06938493625288761,0.060597032374106685,0.06336824997713549,0.06807244365531191,0.06738266080301009,0.06497836689478935,0.06258780938166564,0.06216431797799188,0.06221234946140252,0.06203274209654104
pos12: ' letter',0.12352490479248111,0.062097023490246865,0.06566982545361916,0.06641042519132587,0.06202702338161199,0.06518340533634921,0.06327304052376045,0.06629746419274544,0.06207843415676255,0.06102105053699127,0.06174174895891674,0.06203274209654104
pos13: ' to',0.15082099940634577,0.05969325222801821,0.059295717606472856,0.05650954414254917,0.06094995195406793,0.06182619852039505,0.05551962665587717,0.06361660583565627,0.06521832864827586,0.0613734889568012,0.06514984395492643,0.03452132163938508
