source_layer,source_head,source_label,target_layer,target_head,target_label,source_importance,target_importance,estimated_edge_weight,edge_type,layer_gap
10,0,L10H0,11,2,L11H2,0.212147,0.196306,0.041646,adjacent_layer,1
9,8,L9H8,10,0,L10H0,0.174547,0.212147,0.03703,adjacent_layer,1
9,8,L9H8,11,2,L11H2,0.174547,0.196306,0.034265,short_range,2
9,6,L9H6,10,0,L10H0,0.125418,0.212147,0.026607,adjacent_layer,1
9,6,L9H6,11,2,L11H2,0.125418,0.196306,0.02462,short_range,2
9,9,L9H9,10,0,L10H0,0.107176,0.212147,0.022737,adjacent_layer,1
10,2,L10H2,11,2,L11H2,0.114471,0.196306,0.022471,adjacent_layer,1
9,9,L9H9,11,2,L11H2,0.107176,0.196306,0.021039,short_range,2
4,11,L4H11,10,0,L10H0,0.098528,0.212147,0.020902,long_range,6
9,8,L9H8,10,2,L10H2,0.174547,0.114471,0.019981,adjacent_layer,1
4,11,L4H11,11,2,L11H2,0.098528,0.196306,0.019342,long_range,7
10,10,L10H10,11,2,L11H2,0.088613,0.196306,0.017395,adjacent_layer,1
4,11,L4H11,9,8,L9H8,0.098528,0.174547,0.017198,long_range,5
10,0,L10H0,11,6,L11H6,0.212147,0.08028,0.017031,adjacent_layer,1
10,0,L10H0,11,3,L11H3,0.212147,0.07484,0.015877,adjacent_layer,1
9,8,L9H8,10,10,L10H10,0.174547,0.088613,0.015467,adjacent_layer,1
9,6,L9H6,10,2,L10H2,0.125418,0.114471,0.014357,adjacent_layer,1
9,8,L9H8,11,6,L11H6,0.174547,0.08028,0.014013,short_range,2
10,6,L10H6,11,2,L11H2,0.070074,0.196306,0.013756,adjacent_layer,1
10,0,L10H0,11,1,L11H1,0.212147,0.063092,0.013385,adjacent_layer,1
9,8,L9H8,11,3,L11H3,0.174547,0.07484,0.013063,short_range,2
0,1,L0H1,10,0,L10H0,0.060928,0.212147,0.012926,long_range,10
4,11,L4H11,9,6,L9H6,0.098528,0.125418,0.012357,long_range,5
9,9,L9H9,10,2,L10H2,0.107176,0.114471,0.012269,adjacent_layer,1
9,8,L9H8,10,6,L10H6,0.174547,0.070074,0.012231,adjacent_layer,1
0,1,L0H1,11,2,L11H2,0.060928,0.196306,0.011961,long_range,11
4,11,L4H11,10,2,L10H2,0.098528,0.114471,0.011279,long_range,6
9,6,L9H6,10,10,L10H10,0.125418,0.088613,0.011114,adjacent_layer,1
9,8,L9H8,11,1,L11H1,0.174547,0.063092,0.011013,short_range,2
0,1,L0H1,9,8,L9H8,0.060928,0.174547,0.010635,long_range,9
4,11,L4H11,9,9,L9H9,0.098528,0.107176,0.01056,long_range,5
9,6,L9H6,11,6,L11H6,0.125418,0.08028,0.010069,short_range,2
9,9,L9H9,10,10,L10H10,0.107176,0.088613,0.009497,adjacent_layer,1
9,6,L9H6,11,3,L11H3,0.125418,0.07484,0.009386,short_range,2
10,2,L10H2,11,6,L11H6,0.114471,0.08028,0.00919,adjacent_layer,1
9,6,L9H6,10,6,L10H6,0.125418,0.070074,0.008789,adjacent_layer,1
4,11,L4H11,10,10,L10H10,0.098528,0.088613,0.008731,long_range,6
9,9,L9H9,11,6,L11H6,0.107176,0.08028,0.008604,short_range,2
10,2,L10H2,11,3,L11H3,0.114471,0.07484,0.008567,adjacent_layer,1
9,9,L9H9,11,3,L11H3,0.107176,0.07484,0.008021,short_range,2
9,6,L9H6,11,1,L11H1,0.125418,0.063092,0.007913,short_range,2
4,11,L4H11,11,6,L11H6,0.098528,0.08028,0.00791,long_range,7
0,1,L0H1,9,6,L9H6,0.060928,0.125418,0.007641,long_range,9
9,9,L9H9,10,6,L10H6,0.107176,0.070074,0.00751,adjacent_layer,1
4,11,L4H11,11,3,L11H3,0.098528,0.07484,0.007374,long_range,7
10,2,L10H2,11,1,L11H1,0.114471,0.063092,0.007222,adjacent_layer,1
10,10,L10H10,11,6,L11H6,0.088613,0.08028,0.007114,adjacent_layer,1
0,1,L0H1,10,2,L10H2,0.060928,0.114471,0.006974,long_range,10
4,11,L4H11,10,6,L10H6,0.098528,0.070074,0.006904,long_range,6
9,9,L9H9,11,1,L11H1,0.107176,0.063092,0.006762,short_range,2
10,10,L10H10,11,3,L11H3,0.088613,0.07484,0.006632,adjacent_layer,1
0,1,L0H1,9,9,L9H9,0.060928,0.107176,0.00653,long_range,9
4,11,L4H11,11,1,L11H1,0.098528,0.063092,0.006216,long_range,7
0,1,L0H1,4,11,L4H11,0.060928,0.098528,0.006003,long_range,4
10,6,L10H6,11,6,L11H6,0.070074,0.08028,0.005626,adjacent_layer,1
10,10,L10H10,11,1,L11H1,0.088613,0.063092,0.005591,adjacent_layer,1
0,1,L0H1,10,10,L10H10,0.060928,0.088613,0.005399,long_range,10
10,6,L10H6,11,3,L11H3,0.070074,0.07484,0.005244,adjacent_layer,1
0,1,L0H1,11,6,L11H6,0.060928,0.08028,0.004891,long_range,11
0,1,L0H1,11,3,L11H3,0.060928,0.07484,0.00456,long_range,11
10,6,L10H6,11,1,L11H1,0.070074,0.063092,0.004421,adjacent_layer,1
0,1,L0H1,10,6,L10H6,0.060928,0.070074,0.004269,long_range,10
0,1,L0H1,11,1,L11H1,0.060928,0.063092,0.003844,long_range,11
7,9,L7H9,9,7,L9H7,-0.050597,-0.057526,0.002911,short_range,2
0,1,L0H1,7,9,L7H9,0.060928,-0.050597,-0.003083,long_range,7
7,9,L7H9,11,1,L11H1,-0.050597,0.063092,-0.003192,long_range,4
0,1,L0H1,9,7,L9H7,0.060928,-0.057526,-0.003505,long_range,9
