layer,head,head_label,ablated_ld,ablated_acc,baseline_ld,baseline_acc,ld_drop,importance,rank,head_type
10,0,L10H0,3.051892,0.98,3.475107,0.94,0.423215,0.121785,1,Helper
7,3,L7H3,3.14782,0.96,3.475107,0.94,0.327288,0.094181,2,Helper
8,10,L8H10,3.21817,0.96,3.475107,0.94,0.256937,0.073936,3,Helper
11,3,L11H3,3.246783,0.94,3.475107,0.94,0.228324,0.065703,4,Helper
1,10,L1H10,3.274797,0.98,3.475107,0.94,0.20031,0.057641,5,Helper
4,3,L4H3,3.275873,0.94,3.475107,0.94,0.199234,0.057332,6,Helper
7,9,L7H9,3.283387,0.94,3.475107,0.94,0.19172,0.05517,7,Helper
5,10,L5H10,3.287142,0.96,3.475107,0.94,0.187965,0.054089,8,Helper
10,6,L10H6,3.292981,0.94,3.475107,0.94,0.182126,0.052409,9,Helper
8,11,L8H11,3.300051,0.94,3.475107,0.94,0.175057,0.050374,10,Helper
9,9,L9H9,3.304325,0.94,3.475107,0.94,0.170782,0.049144,11,Neutral
6,0,L6H0,3.324085,0.94,3.475107,0.94,0.151022,0.043458,12,Neutral
10,1,L10H1,3.326327,0.92,3.475107,0.94,0.14878,0.042813,13,Neutral
11,2,L11H2,3.358961,0.96,3.475107,0.94,0.116146,0.033422,14,Neutral
11,1,L11H1,3.359059,0.96,3.475107,0.94,0.116048,0.033394,15,Neutral
11,11,L11H11,3.368583,0.94,3.475107,0.94,0.106524,0.030654,16,Neutral
7,8,L7H8,3.372267,0.94,3.475107,0.94,0.10284,0.029593,17,Neutral
9,3,L9H3,3.373097,0.94,3.475107,0.94,0.102011,0.029355,18,Neutral
8,0,L8H0,3.385069,0.94,3.475107,0.94,0.090039,0.02591,19,Neutral
9,5,L9H5,3.388752,0.94,3.475107,0.94,0.086355,0.02485,20,Neutral
5,7,L5H7,3.391254,0.94,3.475107,0.94,0.083853,0.02413,21,Neutral
1,11,L1H11,3.399638,0.94,3.475107,0.94,0.075469,0.021717,22,Neutral
7,5,L7H5,3.400013,0.94,3.475107,0.94,0.075094,0.021609,23,Neutral
8,3,L8H3,3.404102,1.0,3.475107,0.94,0.071006,0.020433,24,Neutral
11,0,L11H0,3.40492,0.94,3.475107,0.94,0.070188,0.020197,25,Neutral
5,4,L5H4,3.40899,0.94,3.475107,0.94,0.066117,0.019026,26,Neutral
4,9,L4H9,3.410411,0.94,3.475107,0.94,0.064696,0.018617,27,Neutral
4,6,L4H6,3.410696,0.94,3.475107,0.94,0.064411,0.018535,28,Neutral
9,0,L9H0,3.412356,0.96,3.475107,0.94,0.062752,0.018057,29,Neutral
5,5,L5H5,3.419506,0.94,3.475107,0.94,0.055602,0.016,30,Neutral
11,6,L11H6,3.420393,0.92,3.475107,0.94,0.054715,0.015745,31,Neutral
3,6,L3H6,3.420799,0.94,3.475107,0.94,0.054308,0.015628,32,Neutral
9,8,L9H8,3.421737,0.96,3.475107,0.94,0.05337,0.015358,33,Neutral
7,1,L7H1,3.42554,0.94,3.475107,0.94,0.049568,0.014264,34,Neutral
6,11,L6H11,3.426036,0.94,3.475107,0.94,0.049071,0.014121,35,Neutral
2,10,L2H10,3.429881,0.96,3.475107,0.94,0.045226,0.013014,36,Neutral
7,0,L7H0,3.432586,0.94,3.475107,0.94,0.042522,0.012236,37,Neutral
0,9,L0H9,3.434699,0.94,3.475107,0.94,0.040408,0.011628,38,Neutral
10,11,L10H11,3.436526,0.94,3.475107,0.94,0.038581,0.011102,39,Neutral
6,4,L6H4,3.437313,0.96,3.475107,0.94,0.037794,0.010876,40,Neutral
3,10,L3H10,3.438975,0.94,3.475107,0.94,0.036132,0.010397,41,Neutral
10,4,L10H4,3.439552,0.94,3.475107,0.94,0.035556,0.010232,42,Neutral
8,4,L8H4,3.440111,0.94,3.475107,0.94,0.034997,0.010071,43,Neutral
6,7,L6H7,3.440237,0.94,3.475107,0.94,0.034871,0.010034,44,Neutral
6,5,L6H5,3.441018,0.94,3.475107,0.94,0.034089,0.009809,45,Neutral
2,6,L2H6,3.441107,0.94,3.475107,0.94,0.034,0.009784,46,Neutral
11,9,L11H9,3.444442,0.94,3.475107,0.94,0.030666,0.008824,47,Neutral
7,11,L7H11,3.444559,0.94,3.475107,0.94,0.030548,0.008791,48,Neutral
2,7,L2H7,3.446029,0.94,3.475107,0.94,0.029079,0.008368,49,Neutral
0,6,L0H6,3.446659,0.94,3.475107,0.94,0.028449,0.008186,50,Neutral
8,5,L8H5,3.447383,0.94,3.475107,0.94,0.027724,0.007978,51,Neutral
