00:10:09 | INFO     | circuitscope.patching | get_logger:126 | [get_logger] Log file: C:\Users\nitin\OneDrive\Desktop\CircuitScope\outputs\logs\circuitscope_20260731_001009.log
00:10:09 | INFO     | circuitscope.patching | main:83 | Loading model…
00:10:18 | INFO     | circuitscope.patching | main:86 | Generating dataset…
00:10:18 | INFO     | circuitscope.patching | main:104 | Running residual stream patching (50 prompts)…
00:27:42 | INFO     | circuitscope.patching | main:107 | Residual patching complete in 1044.4s
00:27:45 | INFO     | circuitscope.patching | main:120 | Running attention output patching…
00:42:02 | INFO     | circuitscope.patching | main:123 | Attention patching complete in 857.5s
00:42:04 | INFO     | circuitscope.patching | main:135 | Running MLP output patching…
00:56:37 | INFO     | circuitscope.patching | main:138 | MLP patching complete in 872.6s
00:56:40 | INFO     | circuitscope.patching | main:150 | Generating comparison plot…
00:56:45 | INFO     | circuitscope.patching | main:170 | ✓ Activation patching experiment complete.
