layer,head,head_label,ablated_ld,ablated_acc,baseline_ld,baseline_acc,ld_drop,importance,rank,head_type
8,6,L8H6,2.119089,0.935,3.226185,0.965,1.107096,0.34316,1,Name Mover
8,10,L8H10,2.317825,0.93,3.226185,0.965,0.90836,0.281559,2,Name Mover
5,5,L5H5,2.446408,0.93,3.226185,0.965,0.779778,0.241703,3,Name Mover
7,9,L7H9,2.501331,0.935,3.226185,0.965,0.724854,0.224678,4,Name Mover
6,9,L6H9,2.828286,0.95,3.226185,0.965,0.3979,0.123334,5,Helper
3,0,L3H0,2.829223,0.95,3.226185,0.965,0.396962,0.123044,6,Helper
0,10,L0H10,2.833729,0.92,3.226185,0.965,0.392457,0.121647,7,Helper
1,10,L1H10,2.846233,0.93,3.226185,0.965,0.379953,0.117772,8,Helper
5,9,L5H9,2.847752,0.94,3.226185,0.965,0.378433,0.117301,9,Helper
9,7,L9H7,2.877082,0.94,3.226185,0.965,0.349104,0.108209,10,Helper
7,3,L7H3,2.926937,0.945,3.226185,0.965,0.299249,0.092756,11,Helper
10,0,L10H0,2.962736,0.97,3.226185,0.965,0.263449,0.08166,12,Helper
9,9,L9H9,3.01346,0.97,3.226185,0.965,0.212725,0.065937,13,Helper
4,11,L4H11,3.036223,0.95,3.226185,0.965,0.189963,0.058881,14,Helper
10,10,L10H10,3.083035,0.96,3.226185,0.965,0.143151,0.044371,15,Neutral
11,0,L11H0,3.092267,0.96,3.226185,0.965,0.133919,0.04151,16,Neutral
3,10,L3H10,3.096017,0.95,3.226185,0.965,0.130169,0.040348,17,Neutral
5,11,L5H11,3.105452,0.95,3.226185,0.965,0.120733,0.037423,18,Neutral
10,6,L10H6,3.107109,0.945,3.226185,0.965,0.119077,0.036909,19,Neutral
4,7,L4H7,3.108061,0.945,3.226185,0.965,0.118125,0.036614,20,Neutral
7,1,L7H1,3.117601,0.965,3.226185,0.965,0.108584,0.033657,21,Neutral
6,0,L6H0,3.11869,0.955,3.226185,0.965,0.107495,0.03332,22,Neutral
2,6,L2H6,3.147607,0.955,3.226185,0.965,0.078579,0.024357,23,Neutral
5,6,L5H6,3.149026,0.965,3.226185,0.965,0.077159,0.023917,24,Neutral
4,4,L4H4,3.155625,0.96,3.226185,0.965,0.07056,0.021871,25,Neutral
10,1,L10H1,3.159448,0.96,3.226185,0.965,0.066737,0.020686,26,Neutral
