token_position,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11
pos0: '<|endoftext|>',0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104
pos1: 'When',0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104,0.06203274209654104
pos2: ' David',1.1659121967597605,1.166745864270712,1.0752318099436753,0.880551635074618,0.6342956639989947,0.6139570753235608,0.6028529974648918,0.6087923478955165,0.6039840101412927,0.5436705630746919,0.3328157298197375,0.06203274209654104
pos3: ' and',0.12337733788960566,0.12502559407008312,0.1506774511146547,0.2023431199035963,0.31674089288335955,0.14778946368643192,0.0901699945930198,0.08350169065931062,0.07784383942636638,0.0776373306666777,0.07393443371092058,0.06203274209654104
pos4: ' Henry',0.7336854408585808,0.7209948853470074,0.7095192488450397,0.6065579070463479,0.5594899635926769,0.5486901772013575,0.5507577490472847,0.5520951556988717,0.5320184150676591,0.35288630905853574,0.22776568453359108,0.06203274209654104
pos5: ' visited',0.2895389371138373,0.282315905646783,0.27748476748440387,0.26020560875476173,0.3056398177146011,0.23292677491621355,0.22736769501269233,0.22895297418637775,0.22496830878385335,0.20146579133732673,0.15018000304122814,0.06203274209654104
pos6: ' the',0.0761300021033813,0.07226879188722235,0.07295373114545593,0.08706966934527881,0.09583811163336867,0.07341937949628292,0.07236815316550085,0.07235735818808493,0.06679566443474995,0.06704538903253068,0.06539252811549669,0.06203274209654104
pos7: ' restaurant',0.056874273258898336,0.057126803597172975,0.06283923308039817,0.06617427458030828,0.06546421417630464,0.06649309712053325,0.0695095240224582,0.06977761447894688,0.06879321337182116,0.06933338319089465,0.06798130729972052,0.06203274209654104
"pos8: ','",0.05897679987073284,0.057327175580821656,0.0635078288196864,0.06650893878059003,0.065080456272278,0.06621400648115489,0.0632202998196343,0.06430924145658319,0.06297111792978126,0.07826475925610808,0.0900182094287159,0.06203274209654104
pos9: ' Henry',0.542799079396229,0.49856077706699947,0.4875196369195626,0.36855402135904586,0.3635327314784628,0.19033574719589577,0.15070982701449873,0.15717804771167068,0.15338629854843724,0.16751227400839863,0.14841239121524513,0.06203274209654104
pos10: ' handed',0.655832622116262,0.5924125541616404,0.5926683928850555,0.44111956460537094,0.44052812594922286,0.19600729677034257,0.15513404962559812,0.17056987375743174,0.19779875538458236,0.20008532438994653,0.16028650800227573,0.06203274209654104
pos11: ' the',0.22035594762414867,0.21662579916585328,0.22094160914005184,0.20959466224401077,0.20834390390980018,0.14975095734250835,0.13965482411251873,0.14187673146842772,0.13312754131541288,0.13679790859260232,0.11759344728553384,0.06203274209654104
pos12: ' letter',0.13117714279448886,0.13599384997460737,0.11839939044869523,0.10367252360247585,0.10040700330385341,0.08765229310585065,0.07606902004358455,0.07914189596177022,0.07743928012927234,0.07743976536187616,0.07492688364202131,0.06203274209654104
pos13: ' to',0.18033900518140938,0.1843528284978999,0.18382453023984993,0.16403131820939015,0.16427497113490755,0.16727235025230527,0.17735655425239458,0.1636848783473016,0.17965386400944225,0.29451094828978847,0.4044902856237123,0.5219620837682994
