layer,head,head_label,mean_clean_ld,mean_corrupted_ld,restoration_score,sender_importance,is_circuit_node
10,0,L10H0,3.10129,7.398582,0.212147,0.212147,True
11,2,L11H2,3.10129,7.398582,0.196306,0.196306,True
9,8,L9H8,3.10129,7.398582,0.174547,0.174547,True
9,6,L9H6,3.10129,7.398582,0.125418,0.125418,True
10,2,L10H2,3.10129,7.398582,0.114471,0.114471,True
9,9,L9H9,3.10129,7.398582,0.107176,0.107176,True
4,11,L4H11,3.10129,7.398582,0.098528,0.098528,True
10,10,L10H10,3.10129,7.398582,0.088613,0.088613,True
11,6,L11H6,3.10129,7.398582,0.08028,0.08028,True
11,3,L11H3,3.10129,7.398582,0.07484,0.07484,True
10,6,L10H6,3.10129,7.398582,0.070074,0.070074,True
11,1,L11H1,3.10129,7.398582,0.063092,0.063092,True
0,1,L0H1,3.10129,7.398582,0.060928,0.060928,True
8,11,L8H11,3.10129,7.398582,0.048676,0.048676,False
10,1,L10H1,3.10129,7.398582,0.046562,0.046562,False
8,2,L8H2,3.10129,7.398582,0.041666,0.041666,False
0,4,L0H4,3.10129,7.398582,0.038125,0.038125,False
11,9,L11H9,3.10129,7.398582,0.036023,0.036023,False
11,11,L11H11,3.10129,7.398582,0.033664,0.033664,False
8,3,L8H3,3.10129,7.398582,0.032786,0.032786,False
9,2,L9H2,3.10129,7.398582,0.032215,0.032215,False
0,6,L0H6,3.10129,7.398582,0.031302,0.031302,False
0,5,L0H5,3.10129,7.398582,0.0285,0.0285,False
0,3,L0H3,3.10129,7.398582,0.028329,0.028329,False
6,4,L6H4,3.10129,7.398582,0.02615,0.02615,False
9,0,L9H0,3.10129,7.398582,0.025182,0.025182,False
10,3,L10H3,3.10129,7.398582,0.021558,0.021558,False
10,9,L10H9,3.10129,7.398582,0.017518,0.017518,False
5,6,L5H6,3.10129,7.398582,0.016582,0.016582,False
4,3,L4H3,3.10129,7.398582,0.016199,0.016199,False
8,8,L8H8,3.10129,7.398582,0.015887,0.015887,False
11,8,L11H8,3.10129,7.398582,0.014229,0.014229,False
2,2,L2H2,3.10129,7.398582,0.013576,0.013576,False
9,11,L9H11,3.10129,7.398582,0.012773,0.012773,False
1,7,L1H7,3.10129,7.398582,0.011253,0.011253,False
7,5,L7H5,3.10129,7.398582,0.010493,0.010493,False
3,6,L3H6,3.10129,7.398582,0.009159,0.009159,False
2,9,L2H9,3.10129,7.398582,0.008984,0.008984,False
8,6,L8H6,3.10129,7.398582,0.00868,0.00868,False
2,1,L2H1,3.10129,7.398582,0.006843,0.006843,False
10,11,L10H11,3.10129,7.398582,0.006786,0.006786,False
0,10,L0H10,3.10129,7.398582,0.006588,0.006588,False
4,7,L4H7,3.10129,7.398582,0.006545,0.006545,False
11,5,L11H5,3.10129,7.398582,0.006122,0.006122,False
7,1,L7H1,3.10129,7.398582,0.005998,0.005998,False
1,6,L1H6,3.10129,7.398582,0.005963,0.005963,False
3,7,L3H7,3.10129,7.398582,0.005752,0.005752,False
9,4,L9H4,3.10129,7.398582,0.00546,0.00546,False
7,8,L7H8,3.10129,7.398582,0.005301,0.005301,False
5,10,L5H10,3.10129,7.398582,0.005235,0.005235,False
0,2,L0H2,3.10129,7.398582,0.004765,0.004765,False
3,0,L3H0,3.10129,7.398582,0.004593,0.004593,False
6,6,L6H6,3.10129,7.398582,0.004525,0.004525,False
4,0,L4H0,3.10129,7.398582,0.004289,0.004289,False
6,7,L6H7,3.10129,7.398582,0.004277,0.004277,False
3,3,L3H3,3.10129,7.398582,0.003988,0.003988,False
0,0,L0H0,3.10129,7.398582,0.003706,0.003706,False
7,11,L7H11,3.10129,7.398582,0.003584,0.003584,False
2,3,L2H3,3.10129,7.398582,0.003433,0.003433,False
3,10,L3H10,3.10129,7.398582,0.003384,0.003384,False
7,10,L7H10,3.10129,7.398582,0.00324,0.00324,False
0,8,L0H8,3.10129,7.398582,0.003174,0.003174,False
4,5,L4H5,3.10129,7.398582,0.003148,0.003148,False
0,7,L0H7,3.10129,7.398582,0.003087,0.003087,False
3,5,L3H5,3.10129,7.398582,0.003055,0.003055,False
6,5,L6H5,3.10129,7.398582,0.002809,0.002809,False
8,5,L8H5,3.10129,7.398582,0.002564,0.002564,False
2,5,L2H5,3.10129,7.398582,0.002464,0.002464,False
6,0,L6H0,3.10129,7.398582,0.002448,0.002448,False
6,8,L6H8,3.10129,7.398582,0.002295,0.002295,False
10,4,L10H4,3.10129,7.398582,0.002258,0.002258,False
5,7,L5H7,3.10129,7.398582,0.001973,0.001973,False
10,8,L10H8,3.10129,7.398582,0.00196,0.00196,False
2,10,L2H10,3.10129,7.398582,0.001959,0.001959,False
1,0,L1H0,3.10129,7.398582,0.001562,0.001562,False
1,1,L1H1,3.10129,7.398582,0.001558,0.001558,False
3,2,L3H2,3.10129,7.398582,0.00155,0.00155,False
3,9,L3H9,3.10129,7.398582,0.001516,0.001516,False
2,4,L2H4,3.10129,7.398582,0.001219,0.001219,False
5,1,L5H1,3.10129,7.398582,0.001183,0.001183,False
8,4,L8H4,3.10129,7.398582,0.001146,0.001146,False
6,3,L6H3,3.10129,7.398582,0.00109,0.00109,False
7,2,L7H2,3.10129,7.398582,0.001013,0.001013,False
8,1,L8H1,3.10129,7.398582,0.000945,0.000945,False
1,10,L1H10,3.10129,7.398582,0.000879,0.000879,False
7,7,L7H7,3.10129,7.398582,0.000872,0.000872,False
2,8,L2H8,3.10129,7.398582,0.000733,0.000733,False
9,1,L9H1,3.10129,7.398582,0.000719,0.000719,False
2,11,L2H11,3.10129,7.398582,0.000692,0.000692,False
5,3,L5H3,3.10129,7.398582,0.000536,0.000536,False
6,10,L6H10,3.10129,7.398582,0.000476,0.000476,False
4,9,L4H9,3.10129,7.398582,0.000475,0.000475,False
5,4,L5H4,3.10129,7.398582,0.000448,0.000448,False
6,1,L6H1,3.10129,7.398582,0.000407,0.000407,False
3,8,L3H8,3.10129,7.398582,0.000318,0.000318,False
3,11,L3H11,3.10129,7.398582,0.000157,0.000157,False
2,0,L2H0,3.10129,7.398582,0.000123,0.000123,False
6,9,L6H9,3.10129,7.398582,0.000116,0.000116,False
4,6,L4H6,3.10129,7.398582,0.000115,0.000115,False
9,10,L9H10,3.10129,7.398582,-5.7e-05,-5.7e-05,False
2,6,L2H6,3.10129,7.398582,-0.000133,-0.000133,False
0,11,L0H11,3.10129,7.398582,-0.000155,-0.000155,False
6,11,L6H11,3.10129,7.398582,-0.000185,-0.000185,False
4,8,L4H8,3.10129,7.398582,-0.000188,-0.000188,False
1,11,L1H11,3.10129,7.398582,-0.000273,-0.000273,False
4,1,L4H1,3.10129,7.398582,-0.000358,-0.000358,False
4,2,L4H2,3.10129,7.398582,-0.000521,-0.000521,False
4,4,L4H4,3.10129,7.398582,-0.000529,-0.000529,False
10,5,L10H5,3.10129,7.398582,-0.000555,-0.000555,False
7,0,L7H0,3.10129,7.398582,-0.000978,-0.000978,False
9,3,L9H3,3.10129,7.398582,-0.001122,-0.001122,False
3,1,L3H1,3.10129,7.398582,-0.00116,-0.00116,False
5,8,L5H8,3.10129,7.398582,-0.001164,-0.001164,False
4,10,L4H10,3.10129,7.398582,-0.001183,-0.001183,False
8,7,L8H7,3.10129,7.398582,-0.001198,-0.001198,False
5,2,L5H2,3.10129,7.398582,-0.00121,-0.00121,False
1,4,L1H4,3.10129,7.398582,-0.001269,-0.001269,False
11,7,L11H7,3.10129,7.398582,-0.0015,-0.0015,False
1,3,L1H3,3.10129,7.398582,-0.001603,-0.001603,False
7,6,L7H6,3.10129,7.398582,-0.001746,-0.001746,False
5,0,L5H0,3.10129,7.398582,-0.001772,-0.001772,False
5,5,L5H5,3.10129,7.398582,-0.001801,-0.001801,False
0,9,L0H9,3.10129,7.398582,-0.002032,-0.002032,False
1,9,L1H9,3.10129,7.398582,-0.00213,-0.00213,False
7,4,L7H4,3.10129,7.398582,-0.002221,-0.002221,False
3,4,L3H4,3.10129,7.398582,-0.002294,-0.002294,False
1,2,L1H2,3.10129,7.398582,-0.002495,-0.002495,False
8,0,L8H0,3.10129,7.398582,-0.002719,-0.002719,False
11,4,L11H4,3.10129,7.398582,-0.003151,-0.003151,False
6,2,L6H2,3.10129,7.398582,-0.003628,-0.003628,False
5,11,L5H11,3.10129,7.398582,-0.004757,-0.004757,False
5,9,L5H9,3.10129,7.398582,-0.005101,-0.005101,False
11,0,L11H0,3.10129,7.398582,-0.005929,-0.005929,False
1,5,L1H5,3.10129,7.398582,-0.00608,-0.00608,False
8,9,L8H9,3.10129,7.398582,-0.007539,-0.007539,False
1,8,L1H8,3.10129,7.398582,-0.007844,-0.007844,False
2,7,L2H7,3.10129,7.398582,-0.008919,-0.008919,False
9,5,L9H5,3.10129,7.398582,-0.02448,-0.02448,False
7,3,L7H3,3.10129,7.398582,-0.034034,-0.034034,False
7,9,L7H9,3.10129,7.398582,-0.050597,-0.050597,True
9,7,L9H7,3.10129,7.398582,-0.057526,-0.057526,True
11,10,L11H10,3.10129,7.398582,-0.088845,-0.088845,True
8,10,L8H10,3.10129,7.398582,-0.106366,-0.106366,True
10,7,L10H7,3.10129,7.398582,-0.14239,-0.14239,True
